count,experimenter,videoclip_ID,Age,AgeBin,Gender,Condition,NearMissChar,JustInChar,ConditionOrder,HappyFirst,Num_Attempts,Pins_Check,GrayArea_Check,Tim_pins,TimRating,Sam_pins,SamRating,Tim_OR_Sam,explanation,1_emotion_prediction,1_pins_actual,1_BW,1_BWrating,2_emotion_prediction,2_pins_actual,2_BW,2_BWrating,2_Why,2_BeliefRecall,FC_ExperimenterQuestion,FC,FC_why,Said_Both,HighExpectationInitVerbal,HighExpectationInit,HighExpectationBW,HighExpectationRating,HighExpectationRelative,LowExpectationInitVerbal,LowExpectationInit,LowExpectationBW,LowExpectationRating,LowExpectationRelative,FC_Correct,MovedCharacter,Char_InitEmotion_Correct,Experimenter_Error,Pilot
19,andrew,Bowling3_150708_02,4,4,1,3,Sally,Annie,NearMiss_First,0,4,1,1,1,0,1,1,1,Because he knocked down all the pins,happy,1,1,5,sad,1,1,5,NA,,Sally_Annie,Sally,b/c she got three pins,,happy,6,1,5,-1,sad,3,1,5,2,0,1,1,1,0
20,andrew,Bowling3_150708_03,5.71,5,0,1,Annie,Sally,NearMiss_First,1,5,1,1,1,0,1,1,1,b/c he knocked down all of them and he (pointing at tim) knocked down 0,sad,1,1,6,sad,1,1,7,NA,,Sally_Annie,Sally,b/c she was over here (points to where he put her on the scale,,sad,3,1,6,3,sad,3,1,7,4,1,1,0,1,0
21,andrew,Bowling3_150708_04,4,4,1,4,Sally,Annie,JustIn_First,0,2,1,0,0,NA,,,,,NA,,,,,,,,,,,,,,0,3,0,0,-3,NA,3,0,0,-3,0,1,0,1,0
22,andrew,Bowling3_150710_01,4.62,4,0,1,Annie,Sally,NearMiss_First,1,4,1,1,1,0,1,1,1,"""b/c he shoot (hit) all""",sad,1,1,NA ,sad,1,1,NA,NA,,Annie_Sally,Sally,b/c she hit three down,0,sad,3,1,NA ,#VALUE!,sad,3,1,NA,#VALUE!,1,#VALUE!,0,0,0
23,andrew,Bowling3_150713_01,5.63,5,0,3,Sally,Annie,NearMiss_First,1,NA,1,1,0,0,1,1,1,"""b/c he wins""",happy,1,0,1,sad,1,1,1,NA,,Sally_Annie,Annie,b/c eniminiminimo,1,happy,6,0,1,-5,sad,3,1,1,-2,1,1,1,1,0
24,andrew,Bowling3_150720_01,4.97,4,0,2,Annie,Sally,JustIn_First,1,8,1,1,1,0,1,1,1,knocked down all of them,sad,1,1,7,happy,1,1,4.5,,,Sally_Annie,Annie,red is my favorite color,1,happy,6,1,4.5,-1.5,sad,3,1,7,4,0,1,1,1,0
25,andrew,Bowling3_150720_02,5.26,5,0,1,Annie,Sally,NearMiss_First,0,3,1,1,1,0,1,1,1,knocked down six,happy,1,0,3,sad,1,1,6,,,Annie_Sally,Sally,"knocked down the pins, but not all of them",0,happy,6,0,3,-3,sad,3,1,6,3,1,1,1,1,0
26,andrew,Bowling3_150720_03,4.33,4,0,3,Sally,Annie,NearMiss_First,1,2,1,1,1,0,1,1,1,he won,sad,1,1,6,sad,1,1,5,,,Sally_Annie,Annie,I'm not sure,0,sad,3,1,6,3,sad,3,1,5,2,1,1,0,1,0
27,andrew,Bowling3_150722_01,4.9,4,1,4,Sally,Annie,JustIn_First,0,5,1,1,0,1,0,1,1,because he knocked down all of them,sad,1,1,5,happy,1,1,5,,,Sally_Annie,Annie,I don't know,0,happy,6,1,5,-1,sad,3,1,5,2,1,1,1,1,0
28,andrew,Bowling3_150722_02,4.47,4,1,2,Annie,Sally,JustIn_First,1,7,1,1,1,0,1,1,1,he knocked down all of the balls [the pins] yeah,sad,1,1,6,happy,1,1,7,,,Annie_Sally,Annie,She didn't know that she was going to maybe go out but she actually went inside and felt proud of herself,0,happy,6,1,7,1,sad,3,1,6,3,0,1,1,1,0
